cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
151-21-3,"DODECYL SULFATE, [SODIUM SALT]","Hydrocarbons, Aliphatic Saturated",3423265,"Hydrocarbons, Aliphatic Saturated;Salts, Basic",MATCH
105-87-3,게라닐 아세트산,"Hydrocarbons, Aliphatic Unsaturated",1549026,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",MATCH
1025-15-6,TRIALLYL ISOCYANURATE,"Hydrocarbons, Aliphatic Unsaturated",13931,"Hydrocarbons, Aliphatic Unsaturated;Isocyanates and Isothiocyanates",MATCH
108-88-3,TOLUENE,"Hydrocarbons, Aromatic",1140,"Hydrocarbons, Aromatic",MATCH
102-08-9,THIOCARBANILIDE,"Hydrocarbons, Aromatic",700999,"Amides and Imides;Hydrocarbons, Aromatic;Sulfides, Organic",MATCH
102-54-5,FERROCENE,"Hydrocarbons, Aromatic",10219726,"Hydrocarbons, Aromatic;Organometallics",MATCH
104-72-3,N-DECYLBENZENE,"Hydrocarbons, Aromatic",7716,"Hydrocarbons, Aromatic",MATCH
104-88-1,4-CHLOROBENZALDEHYDE,"Hydrocarbons, Aromatic",7726,"Aldehydes;Aryl Halides;Hydrocarbons, Aromatic",MATCH
115-86-6,트리페닐 포스페이트,"Hydrocarbons, Aromatic",8289,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aromatic",MATCH
114-49-8,SCOPOLAMINE HYDROBROMIDE,"Hydrocarbons, Aromatic",6603108,"Alcohols and Polyols;Epoxides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aromatic;Salts, Acidic",MATCH
101-68-8,"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",Isocyanates and Isothiocyanates,7570,Isocyanates and Isothiocyanates,MATCH
67-64-1,ACETONE,Ketones,180,Ketones,MATCH
119-53-9,벤조인,Ketones,8400,"Alcohols and Polyols;Hydrocarbons, Aromatic;Ketones",MATCH
102-01-2,ACETOACETANILIDE,Ketones,7592,"Amides and Imides;Amines, Aromatic;Ketones",MATCH
106-51-4,BENZOQUINONE,Ketones,4650,Ketones,MATCH
107-70-0,4-METHOXY-4-METHYLPENTAN-2-ONE,Ketones,7884,Ethers;Ketones,MATCH
110-13-4,"2,5-HEXANEDIONE",Ketones,8035,Ketones,MATCH
117-39-5,케르세틴(QUERCETIN),Ketones,5280343,Ketones;Phenols and Cresols,MATCH
16940-66-2,SODIUM BOROHYDRIDE,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",4311764,"Bases, Strong;Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes;Water and Aqueous Solutions",MATCH
102-67-0,TRIPROPYLALUMINUM,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",16683069,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",MATCH
7440-09-7,Potassium,"Metals, Alkali, Very Active",5462222,"Metals, Alkali, Very Active",MATCH
7439-93-2,LITHIUM,"Metals, Alkali, Very Active",3028194,"Metals, Alkali, Very Active",MATCH
7440-66-6,ZINC ASHES,"Metals, Elemental and Powder, Active",23994,"Metals, Elemental and Powder, Active",MATCH
7439-95-4,Magnesium,"Metals, Elemental and Powder, Active",5462224,"Metals, Elemental and Powder, Active",MATCH
7440-02-0,니켈,"Metals, Elemental and Powder, Active",935,"Metals, Elemental and Powder, Active",MATCH
7440-21-3,실리콘,"Metals, Elemental and Powder, Active",5461123,"Metals, Elemental and Powder, Active",MATCH
7440-25-7,탄탈럼(탄탈),"Metals, Elemental and Powder, Active",23956,"Metals, Elemental and Powder, Active",MATCH
7429-90-5,"ALUMINUM POWDER, COATED","Metals, Elemental and Powder, Active",5359268,"Metals, Elemental and Powder, Active",MATCH
7439-89-6,"IRON, [POWDERED]","Metals, Elemental and Powder, Active",23925,"Metals, Elemental and Powder, Active",MATCH
7440-50-8,COPPER,"Metals, Less Reactive",23978,"Metals, Less Reactive agents",MISMATCH
10112-91-1,MERCUROUS CHLORIDE,"Metals, Less Reactive",24956,"Metals, Less Reactive agents;Non-Redox-Active Inorganic Compounds",MISMATCH
