cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
723-46-6,SULFAMETHOXAZOLE,"Amides and Imides;Amines, Aromatic;Oximes",5329,"Amides and Imides;Amines, Aromatic;Oximes",MATCH
7241-98-7,AFLATOXIN G2,"Acetals, Ketals, Hemiacetals, and Hemiketals;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers",2724362,"Acetals, Ketals, Hemiacetals, and Hemiketals;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers",MATCH
72490-01-8,FENOXYCARB,Carbamates;Ethers,51605,Carbamates;Ethers,MATCH
7261-97-4,DANTROLEN,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",6914273,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
7269-57-0,2-AMINO-N6-HYDROXYADENINE,"Amines, Phosphines, and Pyridines;Oximes",101513,"Amines, Phosphines, and Pyridines;Oximes",MATCH
7287-19-6,PROMETRYN,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Sulfides, Organic",4929,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Sulfides, Organic",MATCH
7289-37-4,ETHOXYLATED DODECANOL,Alcohols and Polyols;Ethers,96386,Alcohols and Polyols;Ethers,MATCH
73-22-3,L-TRYPTOPHAN,"Salts, Acidic",6305,"Salts, Acidic",MATCH
73-49-4,QUINETHAZONE,"Amides and Imides;Amines, Aromatic;Aryl Halides;Sulfonates, Phosphonates, and Thiophosphonates, Organic",6307,"Amides and Imides;Amines, Aromatic;Aryl Halides;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
730915-04-5,5-MERCAPTOTETRAZOL-1-ACETIC ACID,"Acids, Carboxylic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Ketones",19021343,"Acids, Carboxylic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Ketones",MATCH
732-11-6,PHOSMET,"Amides and Imides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",12901,"Amides and Imides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
7320-34-5,POTASSIUM TETRAPYRO PHOSPHATE,"Salts, Basic",23740,"Salts, Basic",MATCH
7320-37-8,"1,2-EPOXYHEXADECANE",Epoxides;Polymerizable Compounds,23741,Epoxides;Polymerizable Compounds,MATCH
7336-20-1,"4,4&#39;-DIAMINO-2,2&#39;-STILBENEDISULFONIC ACID, DISODIUM SALT","Amines, Aromatic;Hydrocarbons, Aliphatic Unsaturated;Salts, Basic;Sulfonates, Phosphonates, and Thiophosphonates, Organic",,,ERROR
73459-03-7,5-METHYLISOPSORALEN,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers",62267,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers",MATCH
738-70-5,TRIMETHOPRIM,"Amines, Phosphines, and Pyridines;Ethers",5578,"Amines, Phosphines, and Pyridines;Ethers",MATCH
7390-81-0,"1,2-EPOXYOCTADECANE",Epoxides;Polymerizable Compounds,23872,Epoxides;Polymerizable Compounds,MATCH
7396-58-9,DIDECYLMETHYL AMINE,"Amines, Phosphines, and Pyridines",81880,"Amines, Phosphines, and Pyridines",MATCH
74-11-3,P-CHLOROBENZOIC ACID,"Acids, Carboxylic;Aryl Halides",6318,"Acids, Carboxylic;Aryl Halides",MATCH
74-31-7,"N,N&#39;-DIPHENYL-P-PHENYLENEDIAMINE","Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic",6319,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic",MATCH
74051-80-2,SETHOXYDIM,"Hydrocarbons, Aliphatic Unsaturated;Oximes",135491830,"Hydrocarbons, Aliphatic Unsaturated;Oximes",MATCH
7421-93-4,ENDRIN ALDEHYDE,Aldehydes;Halogenated Organic Compounds,522524,Aldehydes;Halogenated Organic Compounds,MATCH
