CAS_Number,Chemical_Name,Reactive_Group_IDs,Reactive_Groups
7786-34-7,MEVINPHOS,27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
7786-81-4,NICKEL SULFATE,60,"Salts, Acidic"
7787-36-2,BARIUM PERMANGANATE,50,"Oxidizing Agents, Strong"
7787-41-9,BARIUM SELENATE,51;61,"Oxidizing Agents, Weak;Salts, Basic"
7787-47-5,BERYLLIUM CHLORIDE,60,"Salts, Acidic"
7787-49-7,BERYLLIUM FLUORIDE,60,"Salts, Acidic"
7787-59-9,BISMUTH OXYCHLORIDE,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
7787-70-4,COPPER (I) BROMIDE,47,Non-Redox-Active Inorganic Compounds
7788-97-8,"CHROMIC FLUORIDE, SOLID",61;68,"Salts, Basic;Water and Aqueous Solutions"
7789-00-6,POTASSIUM CHROMATE,50;61,"Oxidizing Agents, Strong;Salts, Basic"
7789-06-2,STRONTIUM CHROMATE,50;61,"Oxidizing Agents, Strong;Salts, Basic"
7789-09-5,AMMONIUM DICHROMATE,50;60,"Oxidizing Agents, Strong;Salts, Acidic"
7789-18-6,CESIUM NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
7789-23-3,POTASSIUM FLUORIDE,61,"Salts, Basic"
7789-29-9,POTASSIUM BIFLUORIDE,29;60;68,"Fluoride Salts, Soluble;Salts, Acidic;Water and Aqueous Solutions"
7789-38-0,SODIUM BROMATE,50,"Oxidizing Agents, Strong"
7789-42-6,CADMIUM BROMIDE,47,Non-Redox-Active Inorganic Compounds
7789-43-7,COBALTOUS BROMIDE,60,"Salts, Acidic"
7789-45-9,COPPER(II) BROMIDE,60,"Salts, Acidic"
7789-47-1,MERCURIC BROMIDE,42;47,"Metals, Less Reactive;Non-Redox-Active Inorganic Compounds"
7789-59-5,PHOSPHORUS OXYBROMIDE,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
7789-60-8,PHOSPHORUS TRIBROMIDE,3;58,"Acids, Strong Non-oxidizing;Reducing Agents, Strong"
7789-61-9,ANTIMONY TRIBROMIDE,3;32;50,"Acids, Strong Non-oxidizing;Halogenating Agents;Oxidizing Agents, Strong"
7789-69-7,PHOSPHORUS PENTABROMIDE,3;32;50,"Acids, Strong Non-oxidizing;Halogenating Agents;Oxidizing Agents, Strong"
7789-75-5,CALCIUM FLUORIDE,47,Non-Redox-Active Inorganic Compounds
7789-78-8,CALCIUM HYDRIDE,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes"
7790-59-2,POTASSIUM SELENATE,51;61,"Oxidizing Agents, Weak;Salts, Basic"
7790-69-4,LITHIUM NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
7790-93-4,CHLORIC ACID,4,"Acids, Strong Oxidizing"
7790-98-9,AMMONIUM PERCHLORATE,50;60,"Oxidizing Agents, Strong;Salts, Acidic"
7790-99-0,IODINE MONOCHLORIDE,32;50,"Halogenating Agents;Oxidizing Agents, Strong"
7791-10-8,STRONTIUM CHLORATE,50,"Oxidizing Agents, Strong"
7791-12-0,THALLOUS CHLORIDE,47,Non-Redox-Active Inorganic Compounds
7791-21-1,CHLORINE MONOXIDE,32;50,"Halogenating Agents;Oxidizing Agents, Strong"
7791-27-7,PYROSULFURYL CHLORIDE,7;15,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Anhydrides"
78-11-5,PENTAERYTHRITE TETRANITRATE,46;68,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Water and Aqueous Solutions"
78-18-2,1-HYDROXY-1&#39;-HYDROPEROXY DICYCLOHEXYL PEROXIDE,1;8;53,"Acetals, Ketals, Hemiacetals, and Hemiketals;Alcohols and Polyols;Peroxides, Organic"
78-32-0,TRI-P-TOLYL PHOSPHATE,27;35,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aromatic"
78-34-2,DIOXATHION,27;28,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers"
78-38-6,DIETHYL ETHYLPHOSPHONATE,66,"Sulfonates, Phosphonates, and Thiophosphonates, Organic"
78-42-2,TRIS(2-ETHYLHEXYL)PHOSPHATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
78-44-4,CARISOPRODOL,20,Carbamates
78-48-8,"S,S,S-TRIBUTYLTRITHIOPHOSPHATE",27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
78-51-3,TRIBUTOXYETHYL PHOSPHATE,27;28,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers"
78-53-5,AMITON,14;66,"Amines, Phosphines, and Pyridines;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
78-63-7,"2,5-DIMETHYL-2,5-DI-(TERT-BUTYLPEROXY)HEXANE",53,"Peroxides, Organic"
78-67-1,AZODIISOBUTYRONITRILE,17;45,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitriles"
78-71-7,"OXETANE, 3,3-BIS(CHLOROMETHYL)-",28;31,Ethers;Halogenated Organic Compounds
78-75-1,"1,2-DIBROMOPROPANE",31,Halogenated Organic Compounds
78-89-7,2-CHLORO-1-PROPANOL,8;31,Alcohols and Polyols;Halogenated Organic Compounds
78-98-8,METHYLGLYOXAL,9;38;56,Aldehydes;Ketones;Polymerizable Compounds
7803-54-5,MAGNESIUM DIAMIDE,18,"Bases, Strong"
7803-55-6,AMMONIUM METAVANADATE,51;60,"Oxidizing Agents, Weak;Salts, Acidic"
7803-63-6,AMMONIUM HYDROGEN SULFATE,60,"Salts, Acidic"
7803-65-8,AMMONIUM HYPOPHOSPHITE,58;60,"Reducing Agents, Strong;Salts, Acidic"
78413-87-3,OCTONAL,46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
786-19-6,CARBOPHENOTHION,16;27,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
79-06-1,ACRYLAMIDE,6;12;56;68,Acrylates and Acrylic Acids;Amides and Imides;Polymerizable Compounds;Water and Aqueous Solutions
79-08-3,BROMOACETIC ACID,2;31;68,"Acids, Carboxylic;Halogenated Organic Compounds;Water and Aqueous Solutions"
79-11-8,"CHLOROACETIC ACID, SOLID",2;31,"Acids, Carboxylic;Halogenated Organic Compounds"
79-15-2,N-BROMOACETAMIDE,12;31,Amides and Imides;Halogenated Organic Compounds
79-19-6,THIOSEMICARBAZIDE,17;37,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Isocyanates and Isothiocyanates"
79-30-1,ISOBUTYRYL CHLORIDE,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
79-42-5,THIOLACTIC ACID,2;64,"Acids, Carboxylic;Sulfides, Organic"
79-92-5,CAMPHENE,34,"Hydrocarbons, Aliphatic Unsaturated"
79-94-7,TETRABROMOBISPHENOL A,16;55,Aryl Halides;Phenols and Cresols
793-24-8,"N-(1,3-DIMETHYLBUTYL)-N&#39;-PHENYL-P-PHENYLENEDIAMINE",14,"Amines, Phosphines, and Pyridines"
79869-58-2,PROPANETHIOLS,64,"Sulfides, Organic"
80-05-7,"4,4&#39;-ISOPROPYLIDENEDIPHENOL",55,Phenols and Cresols
80-07-9,"4,4&#39;-DICHLORODIPHENYL SULFONE",16;66,"Aryl Halides;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
80-08-0,"4,4&#39;-SULFONYLDIANILINE",13;66,"Amines, Aromatic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
80-13-7,HALAZONE,2;32;66,"Acids, Carboxylic;Halogenating Agents;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
80-15-9,CUMENE HYDROPEROXIDE,53,"Peroxides, Organic"
80-17-1,BENZENESULFONYL HYDRAZIDE,17;66,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
80-30-8,N-CYCLOHEXYL-4-METHYLBENZENESULFONAMIDE,14;66,"Amines, Phosphines, and Pyridines;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
80-39-7,N-ETHYL-4-METHYLBENZENE SULFONAMIDE,14;66,"Amines, Phosphines, and Pyridines;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
80-43-3,DICUMYL PEROXIDE,53,"Peroxides, Organic"
80-46-6,P-TERT-PENTYLPHENOL,55,Phenols and Cresols
80-47-7,P-MENTHANE HYDROPEROXIDE,53,"Peroxides, Organic"
80-51-3,"DIPHENYLOXIDE-4,4&#39;-DISULFONYL HYDRAZIDE",17;28;66,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Ethers;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
80-52-4,"1,8-P-MENTHANEDIAMINE",14,"Amines, Phosphines, and Pyridines"
80-59-1,"TIGLIC ACID, [CORROSIVE SOLID]",2;6,"Acids, Carboxylic;Acrylates and Acrylic Acids"
8001-22-7,"OILS, EDIBLE: SOYA BEAN",27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
8001-23-8,"OILS, EDIBLE: SAFFLOWER",27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
8001-25-0,"OILS, EDIBLE: OLIVE",27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
8001-26-1,"OILS, MISCELLANEOUS: LINSEED",27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
8001-28-3,CROTON OIL,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
8001-29-4,COTTONSEED OIL,2;8;33;34,"Acids, Carboxylic;Alcohols and Polyols;Hydrocarbons, Aliphatic Saturated;Hydrocarbons, Aliphatic Unsaturated"
8001-31-8,"OILS, EDIBLE: COCONUT",27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
8001-35-2,TOXAPHENE,31;34,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
8001-58-9,"CREOSOTE, [COAL TAR]",55,Phenols and Cresols
8001-79-4,CASTOR OIL,8;27;34,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
8002-03-7,"OILS, EDIBLE: PEANUT",27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
8002-05-9,PETROLEUM ETHER,33,"Hydrocarbons, Aliphatic Saturated"
8002-09-3,PINE OIL,8,Alcohols and Polyols
8002-16-2,"OIL, [ROSIN]",33;34,"Hydrocarbons, Aliphatic Saturated;Hydrocarbons, Aliphatic Unsaturated"
8002-24-2,"OILS, MISCELLANEOUS: SPERM",27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
8002-26-4,"OILS, MISCELLANEOUS: TALL",5;27,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
8002-64-0,"OILS, MISCELLANEOUS: NEATSFOOT",27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
8002-74-2,WAXES: PARAFFIN,33,"Hydrocarbons, Aliphatic Saturated"
8002-75-3,"OILS, EDIBLE: PALM",27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
8003-03-0,APC,2;12;14;27;28,"Acids, Carboxylic;Amides and Imides;Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers"
8003-19-8,DICHLOROPROPANE - DICHLOROPROPENE (MIXTURE),31,Halogenated Organic Compounds
8003-22-3,D &amp; C YELLOW 11,14;38,"Amines, Phosphines, and Pyridines;Ketones"
8003-34-7,"PYRETHRINS, [SOLID]",23;27;34;38,"Conjugated Dienes;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated;Ketones"
8003-69-8,C.I. DIRECT BLACK 80,13;17;55;61,"Amines, Aromatic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols;Salts, Basic"
8004-13-5,DOWTHERM,28;35,"Ethers;Hydrocarbons, Aromatic"
8005-02-5,C.I. SOLVENT BLACK 7,36,Insufficient Information for Classification
8006-14-2,"NATURAL GAS, REFRIGERATED LIQUID (CRYOGENIC LIQUID)",33,"Hydrocarbons, Aliphatic Saturated"
8006-19-7,AMATOL,43;46,"Nitrate and Nitrite Compounds, Inorganic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
8006-28-8,"SODA LIME, WITH MORE THAN 4% SODIUM HYDROXIDE",18,"Bases, Strong"
8006-61-9,GASOLINE BLENDING STOCKS: REFORMATES,33,"Hydrocarbons, Aliphatic Saturated"
8007-56-5,AQUA REGIA,4,"Acids, Strong Oxidizing"
8007-70-3,ANISE OIL,9;56,Aldehydes;Polymerizable Compounds
8008-20-6,KEROSENE,33,"Hydrocarbons, Aliphatic Saturated"
8008-51-3,CAMPHOR OIL,28,Ethers
8009-03-8,PETROLATUM,33,"Hydrocarbons, Aliphatic Saturated"
8012-74-6,LONDON PURPLE,13;61,"Amines, Aromatic;Salts, Basic"
8012-75-7,CALCIUM CHROMATE DIHYDRATE,50;61,"Oxidizing Agents, Strong;Salts, Basic"
8012-95-1,MINERAL OIL,33,"Hydrocarbons, Aliphatic Saturated"
8013-07-8,EPOXIDIZED VEGETABLE OILS,26,Epoxides
8013-11-4,SENNA (POWDERED),2;8;55,"Acids, Carboxylic;Alcohols and Polyols;Phenols and Cresols"
8013-75-0,FUSEL OIL,8,Alcohols and Polyols
8014-95-7,"SULFURIC ACID, FUMING",4,"Acids, Strong Oxidizing"
8015-86-9,WAXES: CARNAUBA,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
8016-38-4,ORANGE FLOWER WATER,36;68,Insufficient Information for Classification;Water and Aqueous Solutions
8017-16-1,POLYPHOSPHORIC ACID,5,"Acids, Weak"
8021-39-4,"CREOSOTE, BEECHWOOD",55,Phenols and Cresols
8022-00-2,METHYL DEMETON,27;64,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfides, Organic"
8024-37-1,TURMERIC OLEO RESIN,34;38;55,"Hydrocarbons, Aliphatic Unsaturated;Ketones;Phenols and Cresols"
8024-48-4,CASANTHRANOL,8,Alcohols and Polyols
8028-73-7,ARSENICAL DUST,42,"Metals, Less Reactive"
8029-43-4,CORN SYRUP,8;68,Alcohols and Polyols;Water and Aqueous Solutions
8029-68-3,ICHTHAMMOL,2;14;28,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Ethers"
8030-30-6,"COAL TAR OIL, [HEAVY DISTILLATE]",33,"Hydrocarbons, Aliphatic Saturated"
8030-97-5,"PYROLIGNEOUS ACID, [FLAMMABLE LIQUID LABEL]",2;8;38,"Acids, Carboxylic;Alcohols and Polyols;Ketones"
8032-32-4,"PETROLEUM NAPHTHA, [V.M. &amp; P.]",33;35,"Hydrocarbons, Aliphatic Saturated;Hydrocarbons, Aromatic"
80455-52-3,CYCLOPENTAPHENANTHRENE,35,"Hydrocarbons, Aromatic"
8046-19-3,STYRAX BALSAM,34,"Hydrocarbons, Aliphatic Unsaturated"
8047-99-2,TOLUENE ETHYLSULFONAMIDE,12;66,"Amides and Imides;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
8049-17-0,FERROSILICON,41,"Metals, Elemental and Powder, Active"
8049-19-2,FERROPHOSPHORUS,42,"Metals, Less Reactive"
8052-41-3,STODDARD SOLVENT,33,"Hydrocarbons, Aliphatic Saturated"
8052-42-4,ASPHALT,33;34;35,"Hydrocarbons, Aliphatic Saturated;Hydrocarbons, Aliphatic Unsaturated;Hydrocarbons, Aromatic"
8061-51-6,"LIGNOSULFONIC ACID, SODIUM SALT",1;60,"Acetals, Ketals, Hemiacetals, and Hemiketals;Salts, Acidic"
8061-53-8,AMMONIUM LIGNINSULFONATE,27;55;60,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Phenols and Cresols;Salts, Acidic"
8064-77-5,BENDECTIN,2;8;14;27,"Acids, Carboxylic;Alcohols and Polyols;Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
8065-48-3,DEMETON,27;64,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfides, Organic"
8066-33-9,"PENTOLITE, [DRY]",46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
80789-74-8,"5-ISATINSULFONIC ACID, SODIUM SALT",61,"Salts, Basic"
81-07-2,SACCHARIN (MANUFACTURING),12;66,"Amides and Imides;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
81-11-8,"4,4&#39;-DIAMINO-2,2&#39;-STILBENEDISULFONIC ACID",5;13;34;66,"Acids, Weak;Amines, Aromatic;Hydrocarbons, Aliphatic Unsaturated;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
81-14-1,MUSK KETONE,38;46,"Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
81-15-2,"5-TERT-BUTYL-2,4,6-TRINITRO-M-XYLENE",35;46,"Hydrocarbons, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
81-19-6,"ALPHA,ALPHA,2,6-TETRACHLOROTOLUENE",16;31,Aryl Halides;Halogenated Organic Compounds
81-20-9,"1,3-DIMETHYL-2-NITROBENZENE",46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
81-49-2,"1-AMINO-2,4-DIBROMOANTHRAQUINONE",13;16;38,"Amines, Aromatic;Aryl Halides;Ketones"
81-55-0,"1,8-DIHYDROXY-4,5-DINITROANTHRAQUINONE",8;38;46;55,"Alcohols and Polyols;Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
81-77-6,VAT BLUE 4,14;35;38,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Ketones"
81-81-2,WARFARIN,8;27;35;38,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aromatic;Ketones"
81-88-9,C.I. FOOD RED 15,2;14;23;28;57,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Conjugated Dienes;Ethers;Quaternary Ammonium and Phosphonium Salts"
812-00-0,MONOMETHYL PHOSPHATE,5;27,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
81228-87-7,CYCLOBUTYL CHLOROFORMATE,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
813-44-5,BIS(PERFLUORISOPROPYL) KETONE,30;38,Fluorinated Organic Compounds;Ketones
813-78-5,DIMETHYL PHOSPHATE,5;27,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
814-61-9,BORON TRIFLUORIDE PROPIONIC ACID COMPLEX,2;5;29,"Acids, Carboxylic;Acids, Weak;Fluoride Salts, Soluble"
815-82-7,CUPRIC TARTRATE,8;61,"Alcohols and Polyols;Salts, Basic"
816-40-0,1-BROMO-2-BUTANONE,31;38,Halogenated Organic Compounds;Ketones
818-61-1,HYDROXYETHYLACRYLATE,6;8;56,Acrylates and Acrylic Acids;Alcohols and Polyols;Polymerizable Compounds
82-05-3,BENZANTHRONE,35;38,"Hydrocarbons, Aromatic;Ketones"
82-28-0,1-AMINO-2-METHYLANTHRAQUINONE,13;35;38,"Amines, Aromatic;Hydrocarbons, Aromatic;Ketones"
82-62-2,"3,4,6-TRICHLORO-2-NITROPHENOL",16;46;55,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
82-66-6,DIPHACINONE,5;38,"Acids, Weak;Ketones"
82-68-8,QUINTOZENE,16;46,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
82-71-3,TRINITRORESORCINOL,46;55;68,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols;Water and Aqueous Solutions"
82065-80-3,DIISOTRIDECYL PEROXYDICARBONATE,53,"Peroxides, Organic"
821-06-7,"(E)-1,4-DIBROMO-2-BUTENE",31;34,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
821-95-4,1-UNDECENE,34,"Hydrocarbons, Aliphatic Unsaturated"
823-40-5,"2,6-DIAMINOTOLUENE",13,"Amines, Aromatic"
824-11-3,TRIMETHYLOLPROPANE PHOSPHITE,59;66,"Reducing Agents, Weak;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
824-72-6,BENZENE PHOSPHORUS OXYDICHLORIDE,7;32,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Halogenating Agents"
82657-04-3,BIFENTHRIN,27;30;31;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Fluorinated Organic Compounds;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
827-16-7,TRIMETHYL ISOCYANURATE,37,Isocyanates and Isothiocyanates
828-00-2,DIMETHOXANE,27;28,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers"
83-26-1,PINDONE,38,Ketones
83-32-9,ACENAPHTHENE,35,"Hydrocarbons, Aromatic"
83-38-5,"2,6-DICHLOROBENZALDEHYDE",9;16;31,Aldehydes;Aryl Halides;Halogenated Organic Compounds
83-41-0,"1,2-DIMETHYL-3-NITROBENZENE",46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
83-66-9,MUSK AMBRETTE,46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
83-67-0,THEOBROMINE,12;14,"Amides and Imides;Amines, Phosphines, and Pyridines"
83-72-7,"2-HYDROXY-1,4-NAPHTHOQUINONE",38;55,Ketones;Phenols and Cresols
83-79-4,ROTENONE,34;38,"Hydrocarbons, Aliphatic Unsaturated;Ketones"
831-52-7,SODIUM PICRAMATE,13;46;54;68,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenolic Salts;Water and Aqueous Solutions"
832-69-9,1-METHYLPHENANTHRENE,35,"Hydrocarbons, Aromatic"
834-12-8,AMETRYN,14;35,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic"
834-28-6,PHENFORMIN HYDROCHLORIDE,14;35;60,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Salts, Acidic"
83463-62-1,BROMOCHLOROACETONITRILE,31;45,Halogenated Organic Compounds;Nitriles
83547-96-0,"1,4-DICHLOROBUTANE-D8",31,Halogenated Organic Compounds
839-90-7,"1,3,5-TRIS(2-HYDROXYETHYL)TRIAZINE-2,4,6-TRIONE",8;37,Alcohols and Polyols;Isocyanates and Isothiocyanates
84-15-1,O-TERPHENYL,35,"Hydrocarbons, Aromatic"
84-61-7,DICYCLOHEXYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
84-64-0,BUTYL CYCLOHEXYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
84-65-1,ANTHRAQUINONE,35;38,"Hydrocarbons, Aromatic;Ketones"
84-66-2,DIETHYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
84-69-5,DI-ISOBUTYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
84-74-2,N-BUTYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
84-75-3,DI-N-HEXYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
84-76-4,DINONYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
842-07-9,C.I. SOLVENT YELLOW 14,17;55,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols"
85-01-8,PHENANTHRENE,35,"Hydrocarbons, Aromatic"
85-02-9,BENZO[F]QUINOLINE,14;35,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic"
85-22-3,"2,3,4,5,6-PENTABROMOETHYLBENZENE",16,Aryl Halides
85-41-6,PHTHALIMIDE,12,Amides and Imides
85-43-8,MEMTETRAHYDROPHTHALIC ANHYDRIDE,15;34,"Anhydrides;Hydrocarbons, Aliphatic Unsaturated"
85-44-9,PHTHALIC ANHYDRIDE,15,Anhydrides
85-68-7,BUTYL BENZYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
85-98-3,"N,N&#39;-DIETHYLCARBANILIDE",12;13,"Amides and Imides;Amines, Aromatic"
86-00-0,"2-NITRO-1,1&#39;-BIPHENYL",35;46,"Hydrocarbons, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
86-30-6,N-NITROSODIPHENYLAMINE,17;46,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
86-50-0,AZINPHOS-METHYL,12;17;27,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
86-73-7,FLUORENE,35,"Hydrocarbons, Aromatic"
86-74-8,CARBAZOLE,14,"Amines, Phosphines, and Pyridines"
86-88-4,ANTU,12;35,"Amides and Imides;Hydrocarbons, Aromatic"
860-22-0,INDIGO CARMINE,14;34;38;61,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Unsaturated;Ketones;Salts, Basic"
87-08-1,PENICILLIN V,2;12;64,"Acids, Carboxylic;Amides and Imides;Sulfides, Organic"
87-25-2,ETHYL ANTHRANILATE,13;27,"Amines, Aromatic;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
87-29-6,CINNAMYL ANTHRANILATE,13;27;34,"Amines, Aromatic;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
87-33-2,ISOSORBIDE DINITRATE MIXTURE,28;46,"Ethers;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
87-44-5,BETA-CARYOPHYLLENE,34,"Hydrocarbons, Aliphatic Unsaturated"
87-47-8,PYROLAN,17;20,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Carbamates"
87-59-2,"2,3-XYLIDINE",13,"Amines, Aromatic"
87-61-6,"1,2,3-TRICHLOROBENZENE",16,Aryl Halides
87-65-0,"2,6-DICHLOROPHENOL",5;16;55,"Acids, Weak;Aryl Halides;Phenols and Cresols"
87-66-1,PYROGALLIC ACID,5,"Acids, Weak"
87-82-1,HEXABROMOBENZENE,16,Aryl Halides
